subject,target_memory,group,groupEC,groupDCa,groupDCc,target_memoryEC,nback_dprime,memory_hits_distracter,nbackLevel,target_memory2
3,0,Children,-1,1,0,-1,3.10318486892508,1,2,target forgotten
3,1,Children,-1,1,0,1,3.10318486892508,1,2,target remembered
5,1,Children,-1,1,0,1,2.17393546703615,0.25,2,target remembered
5,0,Children,-1,1,0,-1,2.17393546703615,0.05,2,target forgotten
6,0,Children,-1,1,0,-1,1.39573685986603,0.857142857142857,2,target forgotten
6,1,Children,-1,1,0,1,1.39573685986603,0.8,2,target remembered
8,0,Children,-1,1,0,-1,2.27600944875435,0.833333333333333,2,target forgotten
8,1,Children,-1,1,0,1,2.27600944875435,0.4,2,target remembered
12,1,Children,-1,1,0,1,2.17745164998957,0.416666666666667,1,target remembered
12,0,Children,-1,1,0,-1,2.17745164998957,0.666666666666667,1,target forgotten
13,0,Children,-1,1,0,-1,2.40052085371126,0.333333333333333,1,target forgotten
13,1,Children,-1,1,0,1,2.40052085371126,0.733333333333333,1,target remembered
14,1,Children,-1,1,0,1,2.25732332737342,0.5,2,target remembered
14,0,Children,-1,1,0,-1,2.25732332737342,1,2,target forgotten
15,1,Children,-1,1,0,1,1.62299856257932,0.538461538461538,1,target remembered
15,0,Children,-1,1,0,-1,1.62299856257932,0.272727272727273,1,target forgotten
16,1,Children,-1,1,0,1,2.85441818727287,0,1,target remembered
16,0,Children,-1,1,0,-1,2.85441818727287,0.555555555555556,1,target forgotten
21,1,Children,-1,1,0,1,2.9427616588414,0.333333333333333,1,target remembered
21,0,Children,-1,1,0,-1,2.9427616588414,0.4,1,target forgotten
22,0,Children,-1,1,0,-1,2.38558982721843,0.333333333333333,2,target forgotten
22,1,Children,-1,1,0,1,2.38558982721843,0.375,2,target remembered
24,1,Children,-1,1,0,1,2.48425756567612,0.142857142857143,1,target remembered
24,0,Children,-1,1,0,-1,2.48425756567612,0,1,target forgotten
26,1,Children,-1,1,0,1,2.26569111273324,0.333333333333333,2,target remembered
26,0,Children,-1,1,0,-1,2.26569111273324,0.333333333333333,2,target forgotten
28,0,Children,-1,1,0,-1,3.11465852322288,0.666666666666667,2,target forgotten
28,1,Children,-1,1,0,1,3.11465852322288,0.222222222222222,2,target remembered
30,0,Children,-1,1,0,-1,2.64394642547852,0.05,2,target forgotten
30,1,Children,-1,1,0,1,2.64394642547852,0,2,target remembered
31,1,Children,-1,1,0,1,2.9016576212341,0.375,1,target remembered
31,0,Children,-1,1,0,-1,2.9016576212341,0.666666666666667,1,target forgotten
32,0,Children,-1,1,0,-1,2.20690766554202,0.2,1,target forgotten
32,1,Children,-1,1,0,1,2.20690766554202,0.25,1,target remembered
33,1,Children,-1,1,0,1,2.5738644271874,0.5,1,target remembered
33,0,Children,-1,1,0,-1,2.5738644271874,0.7,1,target forgotten
34,0,Children,-1,1,0,-1,2.97621294512369,0.444444444444444,1,target forgotten
34,1,Children,-1,1,0,1,2.97621294512369,0,1,target remembered
36,0,Children,-1,1,0,-1,2.41517956407865,0.2,1,target forgotten
36,1,Children,-1,1,0,1,2.41517956407865,1,1,target remembered
37,0,Children,-1,1,0,-1,4.01824576905986,0.666666666666667,1,target forgotten
37,1,Children,-1,1,0,1,4.01824576905986,0.714285714285714,1,target remembered
39,1,Children,-1,1,0,1,2.7593908159173,0.571428571428571,1,target remembered
39,0,Children,-1,1,0,-1,2.7593908159173,0.428571428571429,1,target forgotten
40,0,Children,-1,1,0,-1,2.67728290705609,0.75,2,target forgotten
40,1,Children,-1,1,0,1,2.67728290705609,0.5,2,target remembered
41,0,Children,-1,1,0,-1,3.23707581062589,0.428571428571429,1,target forgotten
41,1,Children,-1,1,0,1,3.23707581062589,0.615384615384615,1,target remembered
43,0,Children,-1,1,0,-1,2.634182637217,0.357142857142857,1,target forgotten
43,1,Children,-1,1,0,1,2.634182637217,0.166666666666667,1,target remembered
47,0,Children,-1,1,0,-1,1.78767590074373,0.428571428571429,1,target forgotten
47,1,Children,-1,1,0,1,1.78767590074373,0.428571428571429,1,target remembered
48,1,Children,-1,1,0,1,2.49364739615099,0.181818181818182,1,target remembered
48,0,Children,-1,1,0,-1,2.49364739615099,0.6,1,target forgotten
49,0,Children,-1,1,0,-1,2.68543739795302,0.142857142857143,1,target forgotten
49,1,Children,-1,1,0,1,2.68543739795302,0.4,1,target remembered
54,1,Children,-1,1,0,1,2.49637406990863,0.111111111111111,2,target remembered
54,0,Children,-1,1,0,-1,2.49637406990863,0,2,target forgotten
56,0,Children,-1,1,0,-1,3.01711658321193,1,1,target forgotten
56,1,Children,-1,1,0,1,3.01711658321193,0.461538461538462,1,target remembered
57,0,Children,-1,1,0,-1,1.78726378111634,0.692307692307692,1,target forgotten
57,1,Children,-1,1,0,1,1.78726378111634,0.375,1,target remembered
59,0,Children,-1,1,0,-1,2.12269456443037,0,1,target forgotten
59,1,Children,-1,1,0,1,2.12269456443037,0.2,1,target remembered
61,0,Children,-1,1,0,-1,2.3723882745962,0.375,1,target forgotten
61,1,Children,-1,1,0,1,2.3723882745962,0.666666666666667,1,target remembered
62,1,Children,-1,1,0,1,3.92682672206996,0.4,1,target remembered
62,0,Children,-1,1,0,-1,3.92682672206996,0.444444444444444,1,target forgotten
63,1,Adults,1,0,1,1,2.31166077498761,0.375,2,target remembered
63,0,Adults,1,0,1,-1,2.31166077498761,0.25,2,target forgotten
65,1,Adults,1,0,1,1,1.91169995066363,0.6875,2,target remembered
65,0,Adults,1,0,1,-1,1.91169995066363,1,2,target forgotten
69,1,Adults,1,0,1,1,3.84901985760739,0.214285714285714,2,target remembered
69,0,Adults,1,0,1,-1,3.84901985760739,0.4,2,target forgotten
70,1,Adults,1,0,1,1,4.59633775849894,0.4,2,target remembered
70,0,Adults,1,0,1,-1,4.59633775849894,0.666666666666667,2,target forgotten
71,1,Adults,1,0,1,1,2.24894454080733,0.411764705882353,2,target remembered
71,0,Adults,1,0,1,-1,2.24894454080733,0.4,2,target forgotten
72,0,Adults,1,0,1,-1,3.61546055515306,0.176470588235294,1,target forgotten
72,1,Adults,1,0,1,1,3.61546055515306,0,1,target remembered
73,1,Adults,1,0,1,1,2.95884439613925,0.375,2,target remembered
73,0,Adults,1,0,1,-1,2.95884439613925,0.5,2,target forgotten
78,0,Adults,1,0,1,-1,2.97835969943244,0.428571428571429,2,target forgotten
78,1,Adults,1,0,1,1,2.97835969943244,0.428571428571429,2,target remembered
79,1,Adults,1,0,1,1,4.28976054602284,0.3,2,target remembered
79,0,Adults,1,0,1,-1,4.28976054602284,0.5,2,target forgotten
84,1,Children,-1,1,0,1,2.9272738711048,0.538461538461538,1,target remembered
84,0,Children,-1,1,0,-1,2.9272738711048,0.333333333333333,1,target forgotten
88,0,Children,-1,1,0,-1,1.44995583246802,0.222222222222222,1,target forgotten
88,1,Children,-1,1,0,1,1.44995583246802,0.625,1,target remembered
89,0,Children,-1,1,0,-1,3.63571896558245,0.181818181818182,1,target forgotten
89,1,Children,-1,1,0,1,3.63571896558245,0.1,1,target remembered
91,1,Adults,1,0,1,1,2.73964988619492,0.277777777777778,2,target remembered
91,0,Adults,1,0,1,-1,2.73964988619492,0.166666666666667,2,target forgotten
92,1,Children,-1,1,0,1,2.43125829488004,0.461538461538462,1,target remembered
92,0,Children,-1,1,0,-1,2.43125829488004,0.714285714285714,1,target forgotten
93,1,Children,-1,1,0,1,1.90974153204004,0.466666666666667,2,target remembered
93,0,Children,-1,1,0,-1,1.90974153204004,0.5,2,target forgotten
95,1,Children,-1,1,0,1,3.09738155065711,0.2,1,target remembered
95,0,Children,-1,1,0,-1,3.09738155065711,0.4,1,target forgotten
96,1,Children,-1,1,0,1,4.15300304820405,0.5,1,target remembered
96,0,Children,-1,1,0,-1,4.15300304820405,0.714285714285714,1,target forgotten
97,1,Children,-1,1,0,1,3.50265798221463,0.142857142857143,1,target remembered
97,0,Children,-1,1,0,-1,3.50265798221463,0.615384615384615,1,target forgotten
98,0,Children,-1,1,0,-1,3.90215158805604,0.666666666666667,1,target forgotten
98,1,Children,-1,1,0,1,3.90215158805604,0.4375,1,target remembered
99,0,Children,-1,1,0,-1,1.36602174628096,0.428571428571429,2,target forgotten
99,1,Children,-1,1,0,1,1.36602174628096,0,2,target remembered
100,0,Children,-1,1,0,-1,1.88000524765406,0.428571428571429,1,target forgotten
100,1,Children,-1,1,0,1,1.88000524765406,0.357142857142857,1,target remembered
104,1,Children,-1,1,0,1,2.28937186810346,0,1,target remembered
104,0,Children,-1,1,0,-1,2.28937186810346,0.8,1,target forgotten
108,1,Children,-1,1,0,1,2.81301368521599,0.25,1,target remembered
108,0,Children,-1,1,0,-1,2.81301368521599,0.545454545454545,1,target forgotten
113,1,Children,-1,1,0,1,1.72177693349181,0.454545454545455,2,target remembered
113,0,Children,-1,1,0,-1,1.72177693349181,0.428571428571429,2,target forgotten
