subject,target_memory,group,groupEC,groupDCa,groupDCc,target_memoryEC,category,nback_dprime,memory_hits_distracter,nbackLevel
3,0,Children,-1,1,0,-1,face,3.10318486892508,1,2
3,1,Children,-1,1,0,1,face,3.10318486892508,1,2
5,1,Children,-1,1,0,1,face,2.17393546703615,0.333333333333333,2
5,0,Children,-1,1,0,-1,face,2.17393546703615,0.1,2
5,0,Children,-1,1,0,-1,object,2.17393546703615,0,2
5,1,Children,-1,1,0,1,object,2.17393546703615,0,2
6,0,Children,-1,1,0,-1,object,1.39573685986603,0.857142857142857,2
6,1,Children,-1,1,0,1,object,1.39573685986603,0.8,2
8,0,Children,-1,1,0,-1,face,2.27600944875435,0.833333333333333,2
8,1,Children,-1,1,0,1,face,2.27600944875435,0.4,2
12,1,Children,-1,1,0,1,face,2.17745164998957,0.6,1
12,1,Children,-1,1,0,1,object,2.17745164998957,0.285714285714286,1
12,0,Children,-1,1,0,-1,face,2.17745164998957,1,1
12,0,Children,-1,1,0,-1,object,2.17745164998957,0.333333333333333,1
13,0,Children,-1,1,0,-1,object,2.40052085371126,0,1
13,0,Children,-1,1,0,-1,face,2.40052085371126,0.5,1
13,1,Children,-1,1,0,1,face,2.40052085371126,0.666666666666667,1
13,1,Children,-1,1,0,1,object,2.40052085371126,0.777777777777778,1
14,1,Children,-1,1,0,1,face,2.25732332737342,0.5,2
14,0,Children,-1,1,0,-1,face,2.25732332737342,1,2
15,1,Children,-1,1,0,1,object,1.62299856257932,0.5,1
15,0,Children,-1,1,0,-1,face,1.62299856257932,0,1
15,0,Children,-1,1,0,-1,object,1.62299856257932,0.375,1
15,1,Children,-1,1,0,1,face,1.62299856257932,0.571428571428571,1
16,1,Children,-1,1,0,1,face,2.85441818727287,0,1
16,0,Children,-1,1,0,-1,object,2.85441818727287,0.5,1
16,1,Children,-1,1,0,1,object,2.85441818727287,0,1
16,0,Children,-1,1,0,-1,face,2.85441818727287,1,1
21,1,Children,-1,1,0,1,object,2.9427616588414,0.75,1
21,1,Children,-1,1,0,1,face,2.9427616588414,0,1
21,0,Children,-1,1,0,-1,object,2.9427616588414,0.6,1
21,0,Children,-1,1,0,-1,face,2.9427616588414,0,1
22,0,Children,-1,1,0,-1,face,2.38558982721843,0.333333333333333,2
22,1,Children,-1,1,0,1,face,2.38558982721843,0.375,2
24,1,Children,-1,1,0,1,face,2.48425756567612,0.142857142857143,1
