subject,category,group,nbackLevel,total_blocks_nback,trialtype,dprime,dprimeRO,category2,trialtypeEC,trialtypeDCd,trialtypeECt,categoryEC,categoryDCf,categoryDCo,groupEC,groupDCc,groupDCa,nback_dprime
3,face,Children,2,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,3.10318486892508
3,object,Children,2,2,d_targets,0.633640000779701,0.63364,objects,1,1,0,1,1,0,-1,0,1,3.10318486892508
5,face,Children,2,2,d_targets,0.600336690876162,0.60034,faces,1,1,0,-1,0,1,-1,0,1,2.17393546703615
5,object,Children,2,2,d_targets,0.987268831286151,0.98727,objects,1,1,0,1,1,0,-1,0,1,2.17393546703615
6,object,Children,2,2,d_targets,,,objects,1,1,0,1,1,0,-1,0,1,1.39573685986603
6,face,Children,2,2,d_targets,-0.611959203479783,-0.61196,faces,1,1,0,-1,0,1,-1,0,1,1.39573685986603
8,face,Children,2,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,2.27600944875435
8,object,Children,2,2,d_targets,0.917267982636968,0.91727,objects,1,1,0,1,1,0,-1,0,1,2.27600944875435
12,face,Children,1,2,d_targets,0.688141494977979,0.68814,faces,1,1,0,-1,0,1,-1,0,1,2.17745164998957
12,object,Children,1,2,d_targets,1.59971685575539,1.59972,objects,1,1,0,1,1,0,-1,0,1,2.17745164998957
13,object,Children,1,2,d_targets,0.308374080949429,0.30837,objects,1,1,0,1,1,0,-1,0,1,2.40052085371126
13,face,Children,1,2,d_targets,-0.258779726301698,-0.25878,faces,1,1,0,-1,0,1,-1,0,1,2.40052085371126
14,face,Children,2,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,2.25732332737342
14,object,Children,2,2,d_targets,2.20135861751152,2.20136,objects,1,1,0,1,1,0,-1,0,1,2.25732332737342
15,face,Children,1,2,d_targets,0.201122798961511,0.20112,faces,1,1,0,-1,0,1,-1,0,1,1.62299856257932
15,object,Children,1,2,d_targets,1.63512477312886,1.63512,objects,1,1,0,1,1,0,-1,0,1,1.62299856257932
16,face,Children,1,2,d_targets,0.0526546666845003,0.05265,faces,1,1,0,-1,0,1,-1,0,1,2.85441818727287
16,object,Children,1,2,d_targets,1.13136378996931,1.13136,objects,1,1,0,1,1,0,-1,0,1,2.85441818727287
21,face,Children,1,2,d_targets,0.588274130437115,0.58827,faces,1,1,0,-1,0,1,-1,0,1,2.9427616588414
21,object,Children,1,2,d_targets,1.31309724717413,1.3131,objects,1,1,0,1,1,0,-1,0,1,2.9427616588414
22,face,Children,2,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,2.38558982721843
22,object,Children,2,2,d_targets,0.87665380946882,0.87665,objects,1,1,0,1,1,0,-1,0,1,2.38558982721843
24,face,Children,1,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,2.48425756567612
24,object,Children,1,2,d_targets,1.70138890867675,1.70139,objects,1,1,0,1,1,0,-1,0,1,2.48425756567612
26,face,Children,2,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,2.26569111273324
26,object,Children,2,2,d_targets,2.29550064556173,2.2955,objects,1,1,0,1,1,0,-1,0,1,2.26569111273324
28,face,Children,2,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,3.11465852322288
28,object,Children,2,2,d_targets,2.21845593509313,2.21846,objects,1,1,0,1,1,0,-1,0,1,3.11465852322288
30,face,Children,2,2,d_targets,0.0316066554000058,0.03161,faces,1,1,0,-1,0,1,-1,0,1,2.64394642547852
30,object,Children,2,2,d_targets,0.286536712355433,0.28654,objects,1,1,0,1,1,0,-1,0,1,2.64394642547852
31,face,Children,1,2,d_targets,0.63299509073595,0.633,faces,1,1,0,-1,0,1,-1,0,1,2.9016576212341
31,object,Children,1,2,d_targets,2.4205347554826,2.42053,objects,1,1,0,1,1,0,-1,0,1,2.9016576212341
32,object,Children,1,2,d_targets,0.986178386753681,0.98618,objects,1,1,0,1,1,0,-1,0,1,2.20690766554202
32,face,Children,1,2,d_targets,-0.348944967330211,-0.34894,faces,1,1,0,-1,0,1,-1,0,1,2.20690766554202
33,face,Children,1,2,d_targets,-0.116165395840575,-0.11617,faces,1,1,0,-1,0,1,-1,0,1,2.5738644271874
33,object,Children,1,2,d_targets,2.46756143099685,2.46756,objects,1,1,0,1,1,0,-1,0,1,2.5738644271874
34,face,Children,1,2,d_targets,0.701537735339236,0.70154,faces,1,1,0,-1,0,1,-1,0,1,2.97621294512369
34,object,Children,1,2,d_targets,2.2626222851235,2.26262,objects,1,1,0,1,1,0,-1,0,1,2.97621294512369
36,face,Children,1,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,2.41517956407865
36,object,Children,1,2,d_targets,0.108540928263219,0.10854,objects,1,1,0,1,1,0,-1,0,1,2.41517956407865
37,face,Children,1,2,d_targets,0.384580058830485,0.38458,faces,1,1,0,-1,0,1,-1,0,1,4.01824576905986
37,object,Children,1,2,d_targets,1.67226642322907,1.67227,objects,1,1,0,1,1,0,-1,0,1,4.01824576905986
39,object,Children,1,2,d_targets,2.33352757852339,2.33353,objects,1,1,0,1,1,0,-1,0,1,2.7593908159173
39,face,Children,1,2,d_targets,0.357499362904308,0.3575,faces,1,1,0,-1,0,1,-1,0,1,2.7593908159173
40,object,Children,2,2,d_targets,1.20870478621344,1.2087,objects,1,1,0,1,1,0,-1,0,1,2.67728290705609
40,face,Children,2,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,2.67728290705609
41,object,Children,1,2,d_targets,2.04121797686882,2.04122,objects,1,1,0,1,1,0,-1,0,1,3.23707581062589
41,face,Children,1,2,d_targets,-0.0656356729209827,-0.06564,faces,1,1,0,-1,0,1,-1,0,1,3.23707581062589
43,face,Children,1,2,d_targets,0.0685907791332195,0.06859,faces,1,1,0,-1,0,1,-1,0,1,2.634182637217
43,object,Children,1,2,d_targets,0.863613247450258,0.86361,objects,1,1,0,1,1,0,-1,0,1,2.634182637217
47,face,Children,1,2,d_targets,0.223458082055261,0.22346,faces,1,1,0,-1,0,1,-1,0,1,1.78767590074373
47,object,Children,1,2,d_targets,1.7204982025265,1.7205,objects,1,1,0,1,1,0,-1,0,1,1.78767590074373
48,face,Children,1,2,d_targets,0.239729469578028,0.23973,faces,1,1,0,-1,0,1,-1,0,1,2.49364739615099
48,object,Children,1,2,d_targets,2.57328562969516,2.57329,objects,1,1,0,1,1,0,-1,0,1,2.49364739615099
49,face,Children,1,2,d_targets,0.99923227412024,0.99923,faces,1,1,0,-1,0,1,-1,0,1,2.68543739795302
49,object,Children,1,2,d_targets,1.14136179768641,1.14136,objects,1,1,0,1,1,0,-1,0,1,2.68543739795302
54,face,Children,2,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,2.49637406990863
54,object,Children,2,2,d_targets,2.66284907715683,2.66285,objects,1,1,0,1,1,0,-1,0,1,2.49637406990863
56,object,Children,1,2,d_targets,1.90902136359343,1.90902,objects,1,1,0,1,1,0,-1,0,1,3.01711658321193
56,face,Children,1,2,d_targets,-0.2140059083503,-0.21401,faces,1,1,0,-1,0,1,-1,0,1,3.01711658321193
57,object,Children,1,2,d_targets,0.244273498929765,0.24427,objects,1,1,0,1,1,0,-1,0,1,1.78726378111634
57,face,Children,1,2,d_targets,-0.124611221540449,-0.12461,faces,1,1,0,-1,0,1,-1,0,1,1.78726378111634
59,face,Children,1,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,2.12269456443037
59,object,Children,1,2,d_targets,1.40880809655485,1.40881,objects,1,1,0,1,1,0,-1,0,1,2.12269456443037
61,face,Children,1,2,d_targets,0.433028867538936,0.43303,faces,1,1,0,-1,0,1,-1,0,1,2.3723882745962
61,object,Children,1,2,d_targets,,,objects,1,1,0,1,1,0,-1,0,1,2.3723882745962
62,face,Children,1,2,d_targets,0.0595773214652553,0.05958,faces,1,1,0,-1,0,1,-1,0,1,3.92682672206996
62,object,Children,1,2,d_targets,2.51608286532729,2.51608,objects,1,1,0,1,1,0,-1,0,1,3.92682672206996
63,object,Adults,2,2,d_targets,1.9447142136761,1.94471,objects,1,1,0,1,1,0,1,1,0,2.31166077498761
63,face,Adults,2,2,d_targets,0.847801170067276,0.8478,faces,1,1,0,-1,0,1,1,1,0,2.31166077498761
65,object,Adults,2,2,d_targets,2.36328306301624,2.36328,objects,1,1,0,1,1,0,1,1,0,1.91169995066363
65,face,Adults,2,2,d_targets,0.0290431542959275,0.02904,faces,1,1,0,-1,0,1,1,1,0,1.91169995066363
69,object,Adults,2,2,d_targets,1.7110450068618,1.71105,objects,1,1,0,1,1,0,1,1,0,3.84901985760739
69,face,Adults,2,2,d_targets,0.480461607772155,0.48046,faces,1,1,0,-1,0,1,1,1,0,3.84901985760739
70,face,Adults,2,2,d_targets,1.00624594392384,1.00625,faces,1,1,0,-1,0,1,1,1,0,4.59633775849894
70,object,Adults,2,2,d_targets,2.66819707330305,2.6682,objects,1,1,0,1,1,0,1,1,0,4.59633775849894
71,object,Adults,2,2,d_targets,2.16239278964898,2.16239,objects,1,1,0,1,1,0,1,1,0,2.24894454080733
71,face,Adults,2,2,d_targets,0.706648362403417,0.70665,faces,1,1,0,-1,0,1,1,1,0,2.24894454080733
72,face,Adults,1,2,d_targets,-0.552306368945245,-0.55231,faces,1,1,0,-1,0,1,1,1,0,3.61546055515306
72,object,Adults,1,2,d_targets,1.004351559883,1.00435,objects,1,1,0,1,1,0,1,1,0,3.61546055515306
73,object,Adults,2,2,d_targets,2.62445657457977,2.62446,objects,1,1,0,1,1,0,1,1,0,2.95884439613925
73,face,Adults,2,2,d_targets,0.679400122560855,0.6794,faces,1,1,0,-1,0,1,1,1,0,2.95884439613925
78,object,Adults,2,2,d_targets,0.938179848862553,0.93818,objects,1,1,0,1,1,0,1,1,0,2.97835969943244
78,face,Adults,2,2,d_targets,0.431872291774439,0.43187,faces,1,1,0,-1,0,1,1,1,0,2.97835969943244
79,face,Adults,2,2,d_targets,0.935397598229017,0.9354,faces,1,1,0,-1,0,1,1,1,0,4.28976054602284
79,object,Adults,2,2,d_targets,2.48108086184632,2.48108,objects,1,1,0,1,1,0,1,1,0,4.28976054602284
84,object,Children,1,2,d_targets,1.66275238402638,1.66275,objects,1,1,0,1,1,0,-1,0,1,2.9272738711048
84,face,Children,1,2,d_targets,0.485246214143558,0.48525,faces,1,1,0,-1,0,1,-1,0,1,2.9272738711048
88,object,Children,1,2,d_targets,1.11345601091137,1.11346,objects,1,1,0,1,1,0,-1,0,1,1.44995583246802
88,face,Children,1,2,d_targets,-0.336038140371823,-0.33604,faces,1,1,0,-1,0,1,-1,0,1,1.44995583246802
89,object,Children,1,2,d_targets,2.08535556603183,2.08536,objects,1,1,0,1,1,0,-1,0,1,3.63571896558245
89,face,Children,1,2,d_targets,1.53683328333373,1.53683,faces,1,1,0,-1,0,1,-1,0,1,3.63571896558245
91,face,Adults,2,2,d_targets,0.863985379181739,0.86399,faces,1,1,0,-1,0,1,1,1,0,2.73964988619492
91,object,Adults,2,2,d_targets,2.71810763735387,2.71811,objects,1,1,0,1,1,0,1,1,0,2.73964988619492
92,face,Children,1,2,d_targets,-0.034703424258847,-0.0347,faces,1,1,0,-1,0,1,-1,0,1,2.43125829488004
92,object,Children,1,2,d_targets,2.22461536067355,2.22462,objects,1,1,0,1,1,0,-1,0,1,2.43125829488004
93,face,Children,2,2,d_targets,0.395725295814487,0.39573,faces,1,1,0,-1,0,1,-1,0,1,1.90974153204004
93,object,Children,2,2,d_targets,2.14138747768576,2.14139,objects,1,1,0,1,1,0,-1,0,1,1.90974153204004
95,face,Children,1,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,3.09738155065711
95,object,Children,1,2,d_targets,1.70163349106501,1.70163,objects,1,1,0,1,1,0,-1,0,1,3.09738155065711
96,face,Children,1,2,d_targets,0.442690746938069,0.44269,faces,1,1,0,-1,0,1,-1,0,1,4.15300304820405
96,object,Children,1,2,d_targets,1.74206027407422,1.74206,objects,1,1,0,1,1,0,-1,0,1,4.15300304820405
97,object,Children,1,2,d_targets,0,0,objects,1,1,0,1,1,0,-1,0,1,3.50265798221463
97,face,Children,1,2,d_targets,-0.154149757027892,-0.15415,faces,1,1,0,-1,0,1,-1,0,1,3.50265798221463
98,object,Children,1,2,d_targets,2.94906577355909,2.94907,objects,1,1,0,1,1,0,-1,0,1,3.90215158805604
98,face,Children,1,2,d_targets,-0.686162333911396,-0.68616,faces,1,1,0,-1,0,1,-1,0,1,3.90215158805604
99,face,Children,2,2,d_targets,,,faces,1,1,0,-1,0,1,-1,0,1,1.36602174628096
99,object,Children,2,2,d_targets,0.0872782580743565,0.08728,objects,1,1,0,1,1,0,-1,0,1,1.36602174628096
100,object,Children,1,2,d_targets,0.758950676946023,0.75895,objects,1,1,0,1,1,0,-1,0,1,1.88000524765406
100,face,Children,1,2,d_targets,-0.0544106002071383,-0.05441,faces,1,1,0,-1,0,1,-1,0,1,1.88000524765406
104,object,Children,1,2,d_targets,1.79101627029511,1.79102,objects,1,1,0,1,1,0,-1,0,1,2.28937186810346
104,face,Children,1,2,d_targets,0.0979977928128154,0.098,faces,1,1,0,-1,0,1,-1,0,1,2.28937186810346
108,face,Children,1,2,d_targets,0.509428008747971,0.50943,faces,1,1,0,-1,0,1,-1,0,1,2.81301368521599
108,object,Children,1,2,d_targets,0.395725295814487,0.39573,objects,1,1,0,1,1,0,-1,0,1,2.81301368521599
113,object,Children,2,2,d_targets,1.96187944931145,1.96188,objects,1,1,0,1,1,0,-1,0,1,1.72177693349181
113,face,Children,2,2,d_targets,0.535360754909533,0.53536,faces,1,1,0,-1,0,1,-1,0,1,1.72177693349181
116,face,Children,1,2,d_targets,1.14184126666274,1.14184,faces,1,1,0,-1,0,1,-1,0,1,2.50826178755651
116,object,Children,1,2,d_targets,1.17858589405876,1.17859,objects,1,1,0,1,1,0,-1,0,1,2.50826178755651
123,face,Adults,2,2,d_targets,0.67539563086496,0.6754,faces,1,1,0,-1,0,1,1,1,0,3.76445016408162
123,object,Adults,2,2,d_targets,3.19490191079155,3.1949,objects,1,1,0,1,1,0,1,1,0,3.76445016408162
124,face,Children,1,2,d_targets,-0.0658270754712767,-0.06583,faces,1,1,0,-1,0,1,-1,0,1,2.03967110828406
124,object,Children,1,2,d_targets,1.01098168842156,1.01098,objects,1,1,0,1,1,0,-1,0,1,2.03967110828406
125,face,Children,1,2,d_targets,-0.439747943496891,-0.43975,faces,1,1,0,-1,0,1,-1,0,1,2.39551708479824
125,object,Children,1,2,d_targets,1.71867145505397,1.71867,objects,1,1,0,1,1,0,-1,0,1,2.39551708479824
127,object,Adults,2,2,d_targets,2.04121797686882,2.04122,objects,1,1,0,1,1,0,1,1,0,3.59830571986672
127,face,Adults,2,2,d_targets,0.615141104595973,0.61514,faces,1,1,0,-1,0,1,1,1,0,3.59830571986672
128,face,Adults,2,2,d_targets,0.467698799114508,0.4677,faces,1,1,0,-1,0,1,1,1,0,3.34976265200831
128,object,Adults,2,2,d_targets,2.42514779309583,2.42515,objects,1,1,0,1,1,0,1,1,0,3.34976265200831
131,face,Adults,2,2,d_targets,0.247527830786416,0.24753,faces,1,1,0,-1,0,1,1,1,0,2.37900311242545
131,object,Adults,2,2,d_targets,2.50514095589484,2.50514,objects,1,1,0,1,1,0,1,1,0,2.37900311242545
134,face,Adults,1,2,d_targets,0.32175987247478,0.32176,faces,1,1,0,-1,0,1,1,1,0,3.93835507995881
