subject,memory_selectivity,total_blocks_nback,group,nback_dprime,nbackLevel,lure_interference_rt,lure_interference_acc,object_interference_rt,memory_selectivity_objects,interference_acc_objects,groupDCc,groupDCa,groupEC
3,-0.43393052309844,2,Children,3.10318486892508,2,-0.0487555765727812,-0.0370370370370371,0.104835267912213,,,0,1,-1
5,0.105915238659825,2,Children,2.17393546703615,2,0.022253307960478,0.0830508474576272,-0.120089725011601,0.3105772670256,0.186507936507937,0,1,-1
6,-0.824443345806058,2,Children,1.39573685986603,2,0.0665220885091304,0.119318181818182,0.0665220885091304,,0.119318181818182,0,1,-1
8,-0.201122798961511,2,Children,2.27600944875435,2,0.101539192872236,0.125,-0.0739964072137175,,,0,1,-1
12,0.382058150623664,2,Children,2.17745164998957,1,-0.0157865652667767,0.0860495436766623,0.0783469101767282,0.39755306720132,0.127320954907162,0,1,-1
13,-0.120500399370427,2,Children,2.40052085371126,1,-0.00370192978060796,0.184615384615385,0.115445052921738,-0.290586757713566,0.24331550802139,0,1,-1
14,0.237035886989677,2,Children,2.25732332737342,2,-0.00109104937174823,0.0625,0.190349824082291,,,0,1,-1
15,0.643749075389657,2,Children,1.62299856257932,1,0.188460522646573,-0.0383116883116884,0.241296045817999,0.9340481220403,-0.166666666666667,0,1,-1
16,0.321273739476378,2,Children,2.85441818727287,1,-0.0904430594572597,0.00510855683269473,-0.0183265602193601,0.687474962885287,-0.0230769230769231,0,1,-1
21,0.384039422374446,2,Children,2.9427616588414,1,0.0554322231622181,0.00238095238095237,0.0510488125214231,0.06529226082858,0.0124069478908188,0,1,-1
22,0.911644357178756,2,Children,2.38558982721843,2,-0.0530716152611805,0,0.0168870194079329,,,0,1,-1
24,0.755554562080015,2,Children,2.48425756567612,1,-0.03727997083566,0.142857142857143,0.0254070204413391,,,0,1,-1
26,0.869423773288886,2,Children,2.26569111273324,2,-0.0691458526925586,0,0.00194554308697029,,,0,1,-1
28,1.45172680544272,2,Children,3.11465852322288,2,-0.0254665788933137,0,-0.159563891516164,,,0,1,-1
30,0.0763696342727831,2,Children,2.64394642547852,2,0.0667213865193136,0.102484472049689,0.13916879185349,0.060587422050206,0.296296296296296,0,1,-1
