subject,group,dprimeType,dprime,nbackLevel,dprimeTypeDCt,dprimeTypeDCd,dprimeTypeEC,groupEC,groupDCa,groupDCc,nbackLevelEC,nback_dprime
3,Children,d_targets,0.549988266872572,2,0,1,1,-1,1,0,1,3.10318486892508
5,Children,d_targets,0.838272922723168,2,0,1,1,-1,1,0,1,2.17393546703615
6,Children,d_targets,-0.114542020373721,2,0,1,1,-1,1,0,1,1.39573685986603
8,Children,d_targets,0.438622827649936,2,0,1,1,-1,1,0,1,2.27600944875435
12,Children,d_targets,0.883014741660907,1,0,1,1,-1,1,0,-1,2.17745164998957
13,Children,d_targets,0.0496960612648874,1,0,1,1,-1,1,0,-1,2.40052085371126
14,Children,d_targets,1.00583201065225,2,0,1,1,-1,1,0,1,2.25732332737342
15,Children,d_targets,0.843039876672416,1,0,1,1,-1,1,0,-1,1.62299856257932
16,Children,d_targets,0.643953388208372,1,0,1,1,-1,1,0,-1,2.85441818727287
21,Children,d_targets,0.940945716966066,1,0,1,1,-1,1,0,-1,2.9427616588414
22,Children,d_targets,0.826628326710917,2,0,1,1,-1,1,0,1,2.38558982721843
24,Children,d_targets,1.24206950754561,1,0,1,1,-1,1,0,-1,2.48425756567612
26,Children,d_targets,1.01454471449966,2,0,1,1,-1,1,0,1,2.26569111273324
28,Children,d_targets,1.52348941373221,2,0,1,1,-1,1,0,1,3.11465852322288
30,Children,d_targets,0.277400606091695,2,0,1,1,-1,1,0,1,2.64394642547852
31,Children,d_targets,1.37142308228803,1,0,1,1,-1,1,0,-1,2.9016576212341
32,Children,d_targets,0.151083167507593,1,0,1,1,-1,1,0,-1,2.20690766554202
33,Children,d_targets,0.892455402182194,1,0,1,1,-1,1,0,-1,2.5738644271874
34,Children,d_targets,1.52339635071863,1,0,1,1,-1,1,0,-1,2.97621294512369
36,Children,d_targets,-0.177487157949752,1,0,1,1,-1,1,0,-1,2.41517956407865
37,Children,d_targets,0.683568504676476,1,0,1,1,-1,1,0,-1,4.01824576905986
39,Children,d_targets,1.17589368418555,1,0,1,1,-1,1,0,-1,2.7593908159173
40,Children,d_targets,0.802861178129727,2,0,1,1,-1,1,0,1,2.67728290705609
41,Children,d_targets,0.850079518604048,1,0,1,1,-1,1,0,-1,3.23707581062589
43,Children,d_targets,0.431851512322986,1,0,1,1,-1,1,0,-1,2.634182637217
47,Children,d_targets,0.935494394209673,1,0,1,1,-1,1,0,-1,1.78767590074373
48,Children,d_targets,1.17318215576051,1,0,1,1,-1,1,0,-1,2.49364739615099
49,Children,d_targets,0.999139595747113,1,0,1,1,-1,1,0,-1,2.68543739795302
54,Children,d_targets,2.32963561932869,2,0,1,1,-1,1,0,1,2.49637406990863
56,Children,d_targets,0.722364608119254,1,0,1,1,-1,1,0,-1,3.01711658321193
57,Children,d_targets,0.0539789737944034,1,0,1,1,-1,1,0,-1,1.78726378111634
59,Children,d_targets,0.641155693543382,1,0,1,1,-1,1,0,-1,2.12269456443037
61,Children,d_targets,0.624943096797184,1,0,1,1,-1,1,0,-1,2.3723882745962
62,Children,d_targets,0.941012255579313,1,0,1,1,-1,1,0,-1,3.92682672206996
