subject,group,hit_rate,target,false_alarm_rate,nbackLevel,dprime,target2,targetEC,targetDCf,targetDCo,nbackLevelDC1,nbackLevelDC2,nbackLevelEC,groupDCc,groupDCa,groupEC
3,Children,0.958333333333333,o,0.0851063829787234,2,3.10318486892508,objects,1,1,0,1,0,1,0,1,-1
5,Children,0.958333333333333,o,0.0625,2,3.26578494047479,objects,1,1,0,1,0,1,0,1,-1
5,Children,0.545454545454545,f,0.0930232558139535,2,1.43655067322115,faces,-1,0,1,1,0,1,0,1,-1
6,Children,0.545454545454545,f,0.1,2,1.39573685986603,faces,-1,0,1,1,0,1,0,1,-1
8,Children,0.9,o,0.16,2,2.27600944875435,objects,1,1,0,1,0,1,0,1,-1
12,Children,0.882352941176471,f,0.142857142857143,1,2.25440195663396,faces,-1,0,1,0,1,-1,0,1,-1
12,Children,0.736842105263158,o,0.0465116279069767,1,2.31330118609552,objects,1,1,0,0,1,-1,0,1,-1
13,Children,0.736842105263158,o,0.0444444444444444,1,2.33492816763196,objects,1,1,0,0,1,-1,0,1,-1
13,Children,0.894736842105263,f,0.0888888888888889,1,2.59974839784011,faces,-1,0,1,0,1,-1,0,1,-1
14,Children,0.8,o,0.0784313725490197,2,2.25732332737342,objects,1,1,0,1,0,1,0,1,-1
15,Children,0.833333333333333,o,0.15,1,2.00385495559549,objects,1,1,0,0,1,-1,0,1,-1
15,Children,0.555555555555556,f,0.116279069767442,1,1.33350537166497,faces,-1,0,1,0,1,-1,0,1,-1
16,Children,0.823529411764706,f,0.0930232558139535,1,2.25126487054699,faces,-1,0,1,0,1,-1,0,1,-1
16,Children,0.975,o,0.0476190476190477,1,3.62835517848713,objects,1,1,0,0,1,-1,0,1,-1
21,Children,0.789473684210526,o,0.0111111111111111,1,3.09114433167128,objects,1,1,0,0,1,-1,0,1,-1
21,Children,0.947368421052632,f,0.0681818181818182,1,3.10932630096621,faces,-1,0,1,0,1,-1,0,1,-1
22,Children,0.636363636363636,o,0.0208333333333334,2,2.38558982721843,objects,1,1,0,1,0,1,0,1,-1
24,Children,0.789473684210526,o,0.0465116279069767,1,2.48425756567612,objects,1,1,0,0,1,-1,0,1,-1
26,Children,0.7,o,0.0408163265306123,2,2.26569111273324,objects,1,1,0,1,0,1,0,1,-1
28,Children,0.958333333333333,o,0.0833333333333334,2,3.11465852322288,objects,1,1,0,1,0,1,0,1,-1
30,Children,0.958333333333333,o,0.176470588235294,2,2.66056388776952,objects,1,1,0,1,0,1,0,1,-1
30,Children,0.909090909090909,f,0.162790697674419,2,2.31823065301513,faces,-1,0,1,1,0,1,0,1,-1
31,Children,0.947368421052632,f,0.113636363636364,1,2.82727030886047,faces,-1,0,1,0,1,-1,0,1,-1
31,Children,0.894736842105263,o,0.0227272727272727,1,3.2525430893712,objects,1,1,0,0,1,-1,0,1,-1
32,Children,0.823529411764706,o,0.131578947368421,1,2.04785787270983,objects,1,1,0,0,1,-1,0,1,-1
32,Children,0.941176470588235,f,0.185185185185185,1,2.46050629024539,faces,-1,0,1,0,1,-1,0,1,-1
33,Children,0.888888888888889,o,0.0465116279069767,1,2.90030153416316,objects,1,1,0,0,1,-1,0,1,-1
33,Children,0.842105263157895,f,0.0952380952380952,1,2.31231968444831,faces,-1,0,1,0,1,-1,0,1,-1
34,Children,0.973684210526316,f,0.121951219512195,1,3.10321950054951,faces,-1,0,1,0,1,-1,0,1,-1
34,Children,0.888888888888889,o,0.0465116279069767,1,2.90030153416316,objects,1,1,0,0,1,-1,0,1,-1
36,Children,0.6875,o,0.027027027027027,1,2.41517956407865,objects,1,1,0,0,1,-1,0,1,-1
37,Children,0.882352941176471,f,0.0125,1,3.42823416036076,faces,-1,0,1,0,1,-1,0,1,-1
37,Children,0.96875,o,0.0131578947368421,1,4.08425145575949,objects,1,1,0,0,1,-1,0,1,-1
39,Children,0.882352941176471,f,0.0714285714285714,1,2.65206522544134,faces,-1,0,1,0,1,-1,0,1,-1
39,Children,0.842105263157895,o,0.0232558139534884,1,2.99386842924456,objects,1,1,0,0,1,-1,0,1,-1
40,Children,0.818181818181818,o,0.0384615384615384,2,2.67728290705609,objects,1,1,0,1,0,1,0,1,-1
41,Children,0.888888888888889,o,0.0111111111111111,1,3.50718830015833,objects,1,1,0,0,1,-1,0,1,-1
41,Children,0.894736842105263,f,0.0454545454545454,1,2.94274114985012,faces,-1,0,1,0,1,-1,0,1,-1
43,Children,0.888888888888889,o,0.0697674418604651,1,2.69816564086619,objects,1,1,0,0,1,-1,0,1,-1
43,Children,0.866666666666667,f,0.073170731707317,1,2.56334779744879,faces,-1,0,1,0,1,-1,0,1,-1
47,Children,0.722222222222222,o,0.119047619047619,1,1.76921691546164,objects,1,1,0,0,1,-1,0,1,-1
47,Children,0.68421052631579,f,0.0909090909090909,1,1.81468338944989,faces,-1,0,1,0,1,-1,0,1,-1
48,Children,0.6875,f,0.178571428571429,1,1.40959938748305,faces,-1,0,1,0,1,-1,0,1,-1
48,Children,0.975,o,0.0131578947368421,1,4.18148357287789,objects,1,1,0,0,1,-1,0,1,-1
49,Children,0.947368421052632,o,0.0465116279069767,1,3.29951744395408,objects,1,1,0,0,1,-1,0,1,-1
49,Children,0.647058823529412,f,0.0222222222222223,1,2.38726671602394,faces,-1,0,1,0,1,-1,0,1,-1
54,Children,0.777777777777778,o,0.0416666666666666,2,2.49637406990863,objects,1,1,0,1,0,1,0,1,-1
56,Children,0.842105263157895,o,0.0238095238095238,1,2.98390036430981,objects,1,1,0,0,1,-1,0,1,-1
56,Children,0.944444444444444,f,0.0526315789473685,1,3.21307507666132,faces,-1,0,1,0,1,-1,0,1,-1
57,Children,0.966666666666667,f,0.454545454545455,1,1.94809993013734,faces,-1,0,1,0,1,-1,0,1,-1
57,Children,0.833333333333333,o,0.205128205128205,1,1.79086405332552,objects,1,1,0,0,1,-1,0,1,-1
59,Children,0.823529411764706,o,0.116279069767442,1,2.12269456443037,objects,1,1,0,0,1,-1,0,1,-1
