subject,nbackLevel,group,lure repeat,nonrepeat,target facilitation,target repeat,lure_interference_acc,lure_facilitation_acc,lure_interference_accRO
3,2,Children,1,0.962962962962963,1,1,-0.0370370370370371,0,-0.03704
5,2,Children,0.9,0.983050847457627,0.857142857142857,0.733333333333333,0.0830508474576272,0.123809523809524,0.08305
6,2,Children,0.818181818181818,0.9375,0.6,0.5,0.119318181818182,0.1,0.11932
8,2,Children,0.875,1,0.833333333333333,1,0.125,-0.166666666666667,0.125
12,1,Children,0.846153846153846,0.932203389830508,0.888888888888889,0.777777777777778,0.0860495436766623,0.111111111111111,0.08605
13,1,Children,0.8,0.984615384615385,0.846153846153846,0.8,0.184615384615385,0.0461538461538461,0.18462
14,2,Children,0.9375,1,1,0.75,0.0625,0.25,0.0625
15,1,Children,0.892857142857143,0.854545454545455,0.75,0.678571428571429,-0.0383116883116884,0.0714285714285714,-0.03831
16,1,Children,0.925925925925926,0.931034482758621,1,0.888888888888889,0.00510855683269473,0.111111111111111,0.00511
21,1,Children,0.964285714285714,0.966666666666667,0.9,0.857142857142857,0.00238095238095237,0.0428571428571429,0.00238
22,2,Children,1,1,0.6,0.666666666666667,0,-0.0666666666666667,0
24,1,Children,0.857142857142857,1,0.75,0.8,0.142857142857143,-0.05,0.14286
26,2,Children,1,1,0.5,0.75,0,-0.25,0
28,2,Children,1,1,1,1,0,0,0
30,2,Children,0.826086956521739,0.928571428571429,1,0.933333333333333,0.102484472049689,0.0666666666666667,0.10248
31,1,Children,1,0.9,0.9,0.928571428571429,-0.1,-0.0285714285714286,-0.1
32,1,Children,0.7,0.911111111111111,0.916666666666667,0.863636363636364,0.211111111111111,0.053030303030303,0.21111
33,1,Children,0.888888888888889,0.948275862068965,1,0.821428571428571,0.0593869731800767,0.178571428571429,0.05939
34,1,Children,0.8,0.966101694915254,1,0.923076923076923,0.166101694915254,0.0769230769230769,0.1661
36,1,Children,1,0.96,0.666666666666667,0.692307692307692,-0.04,-0.0256410256410257,-0.04
37,1,Children,1,1,1,0.91304347826087,0,0.0869565217391305,0
