subject,nbackLevel,group,target,lure repeat,nonrepeat,target facilitation,target repeat,lure_interference_acc,lure_facilitation_acc,distractor_category
3,2,Children,o,1,0.962962962962963,1,1,-0.0370370370370371,0,faces
5,2,Children,f,0.777777777777778,0.964285714285714,0.5,0.555555555555556,0.186507936507937,-0.0555555555555556,objects
5,2,Children,o,1,1,1,1,0,0,faces
6,2,Children,f,0.818181818181818,0.9375,0.6,0.5,0.119318181818182,0.1,objects
8,2,Children,o,0.875,1,0.833333333333333,1,0.125,-0.166666666666667,faces
12,1,Children,f,0.769230769230769,0.896551724137931,1,0.833333333333333,0.127320954907162,0.166666666666667,objects
12,1,Children,o,0.923076923076923,0.966666666666667,0.75,0.733333333333333,0.0435897435897435,0.0166666666666667,faces
13,1,Children,f,0.727272727272727,0.970588235294118,0.875,0.909090909090909,0.24331550802139,-0.0340909090909091,objects
13,1,Children,o,0.857142857142857,1,0.8,0.714285714285714,0.142857142857143,0.0857142857142858,faces
14,2,Children,o,0.9375,1,1,0.75,0.0625,0.25,faces
15,1,Children,f,1,0.833333333333333,0.6,0.538461538461538,-0.166666666666667,0.0615384615384615,objects
15,1,Children,o,0.8,0.88,1,0.8,0.08,0.2,faces
16,1,Children,f,0.923076923076923,0.9,1,0.75,-0.0230769230769231,0.25,objects
16,1,Children,o,0.928571428571429,0.964285714285714,1,1,0.0357142857142857,0,faces
21,1,Children,f,0.923076923076923,0.935483870967742,1,0.923076923076923,0.0124069478908188,0.0769230769230769,objects
21,1,Children,o,1,1,0.75,0.8,0,-0.05,faces
22,2,Children,o,1,1,0.6,0.666666666666667,0,-0.0666666666666667,faces
24,1,Children,o,0.857142857142857,1,0.75,0.8,0.142857142857143,-0.05,faces
26,2,Children,o,1,1,0.5,0.75,0,-0.25,faces
28,2,Children,o,1,1,1,1,0,0,faces
30,2,Children,f,0.666666666666667,0.962962962962963,1,0.833333333333333,0.296296296296296,0.166666666666667,objects
30,2,Children,o,0.928571428571429,0.896551724137931,1,1,-0.0320197044334976,0,faces
31,1,Children,f,1,0.838709677419355,1,0.923076923076923,-0.161290322580645,0.0769230769230769,objects
31,1,Children,o,1,0.96551724137931,0.75,0.933333333333333,-0.0344827586206896,-0.183333333333333,faces
32,1,Children,f,0.571428571428571,0.9,1,0.888888888888889,0.328571428571429,0.111111111111111,objects
32,1,Children,o,0.769230769230769,0.92,0.75,0.846153846153846,0.150769230769231,-0.0961538461538461,faces
33,1,Children,f,0.833333333333333,0.933333333333333,1,0.769230769230769,0.1,0.230769230769231,objects
33,1,Children,o,0.933333333333333,0.964285714285714,1,0.866666666666667,0.030952380952381,0.133333333333333,faces
34,1,Children,f,0.727272727272727,0.933333333333333,1,1,0.206060606060606,0,objects
34,1,Children,o,0.857142857142857,1,1,0.857142857142857,0.142857142857143,0.142857142857143,faces
36,1,Children,o,1,0.96,0.666666666666667,0.692307692307692,-0.04,-0.0256410256410257,faces
37,1,Children,f,1,1,1,0.818181818181818,0,0.181818181818182,objects
37,1,Children,o,1,1,1,1,0,0,faces
39,1,Children,f,0.75,1,1,0.8,0.25,0.2,objects
39,1,Children,o,0.923076923076923,1,1,0.769230769230769,0.0769230769230769,0.230769230769231,faces
40,2,Children,o,1,1,0.857142857142857,0.75,0,0.107142857142857,faces
41,1,Children,f,0.909090909090909,0.96969696969697,1,0.818181818181818,0.0606060606060607,0.181818181818182,objects
41,1,Children,o,1,1,0.8,0.923076923076923,0,-0.123076923076923,faces
43,1,Children,f,0.916666666666667,0.931034482758621,1,0.777777777777778,0.014367816091954,0.222222222222222,objects
