subject,nbackLevel,group,target,lure repeat,nonrepeat,target facilitation,target repeat,lure_interference_rt,lure_facilitation_rt,distractor_category
3,2,Children,f,0.143679474658056,0.0388442067458433,0.343911791503507,,0.104835267912213,,objects
3,2,Children,o,0.0528002666678368,0.101555843240618,0.199466120137456,0.101389770849833,-0.0487555765727812,-0.0980763492876227,faces
5,2,Children,f,0.00727437009190294,0.127364095103504,0.136342398639103,0.101012071479398,-0.120089725011601,-0.0353303271597049,objects
5,2,Children,o,0.236744093083363,0.123413480131643,-0.0719451786317406,-0.140306360925435,0.113330612951721,-0.0683611822936944,faces
6,2,Children,f,0.299070365788467,0.232548277279337,0.134943656061051,0.124166237625777,0.0665220885091304,-0.0107774184352738,objects
6,2,Children,o,0.244236020329365,0.204547659904034,,0.258854953531358,0.0396883604253314,,faces
8,2,Children,f,0.107177196011912,0.181173603225629,-0.556099478504841,0.0305360513283861,-0.0739964072137175,0.586635529833227,objects
8,2,Children,o,0.228100177113989,0.126560984241753,-0.205331484434469,0.253470616639875,0.101539192872236,0.458802101074344,faces
12,1,Children,f,0.185481043238538,0.10713413306181,0.052460717947559,0.109433617712255,0.0783469101767282,0.0569728997646964,objects
12,1,Children,o,-0.00172794417865389,0.091998668471362,0.33637117099119,0.193479233620018,-0.0937266126500159,-0.142891937371172,faces
13,1,Children,f,-0.217777323696532,-0.33322237661827,-0.414438720523313,-0.145202742986514,0.115445052921738,0.269235977536798,objects
13,1,Children,o,-0.380282387394082,-0.288538104135553,-0.00485090971743898,-0.168293730609994,-0.0917442832585285,-0.163442820892555,faces
14,2,Children,f,0.301056937917165,0.110707113834874,0.25591501035937,0.268826227974433,0.190349824082291,0.0129112176150633,objects
14,2,Children,o,0.215044048452553,0.216135097824301,0.158957149195018,0.325253777871309,-0.00109104937174823,0.166296628676291,faces
15,1,Children,f,0.182815673172303,-0.0584803726456954,-0.105507766007858,0.162111969710511,0.241296045817999,0.26761973571837,objects
15,1,Children,o,0.107620283987471,-0.022713935870823,0.0959495437097479,0.126342510648476,0.130334219858294,0.0303929669387277,faces
16,1,Children,f,-0.132118628034023,-0.113792067814662,-0.276873448776115,-0.131726291534566,-0.0183265602193601,0.14514715724155,objects
16,1,Children,o,-0.183924729062515,-0.0234374144084951,-0.0988695178766053,-0.245334197273346,-0.16048731465402,-0.146464679396741,faces
21,1,Children,f,-0.371414564967478,-0.422463377488901,-0.437574267431364,-0.337477681193843,0.0510488125214231,0.100096586237521,objects
21,1,Children,o,-0.374344476992123,-0.434278375901742,-0.232507164050324,-0.310092134960135,0.0599338989096191,-0.0775849709098105,faces
22,2,Children,f,0.176500524487373,0.159613505079441,0.118839014481599,-0.0107991845188592,0.0168870194079329,-0.129638199000458,objects
22,2,Children,o,0.132865486510103,0.185937101771283,0.212816380104439,0.117956983525813,-0.0530716152611805,-0.0948593965786264,faces
24,1,Children,f,-0.158475586667975,-0.183882607109315,-0.212337275890551,-0.36159774065189,0.0254070204413391,-0.14926046476134,objects
24,1,Children,o,-0.24609244435528,-0.20881247351962,-0.38723322638078,-0.191531918159028,-0.03727997083566,0.195701308221752,faces
26,2,Children,f,-0.122232243882803,-0.124177786969773,,,0.00194554308697029,,objects
26,2,Children,o,-0.214040719592964,-0.144894866900405,-0.274790221904178,-0.00186537908881959,-0.0691458526925586,0.272924842815358,faces
28,2,Children,f,-0.274293048076907,-0.114729156560743,,0.0270363922915908,-0.159563891516164,,objects
28,2,Children,o,-0.109638846203925,-0.0841722673106111,-0.123928532058133,-0.164087233253199,-0.0254665788933137,-0.0401587011950659,faces
30,2,Children,f,0.254642023614663,0.115473231761173,0.279025309085717,0.176495993913761,0.13916879185349,-0.102529315171957,objects
30,2,Children,o,0.164940468352209,0.137618545754589,0.0967433456759958,0.279987157357734,0.0273219225976202,0.183243811681738,faces
31,1,Children,f,-0.145746469765652,-0.0473327313504401,-0.243560311441686,-0.187981082210861,-0.0984137384152123,0.0555792292308249,objects
31,1,Children,o,-0.136315731412664,-0.0754972874658887,-0.130657999773354,-0.0979376762280325,-0.0608184439467756,0.0327203235453216,faces
32,1,Children,f,-0.0279619856139524,0.134101443313493,-0.243745764126516,0.197792374988607,-0.162063428927446,0.441538139115123,objects
32,1,Children,o,0.193174731937651,0.0996549518094937,0.224913055477623,-0.00922304807386838,0.0935197801281574,-0.234136103551491,faces
33,1,Children,f,0.0596143377067427,-0.14075977943371,-0.0185144754847324,0.0438426347560389,0.200374117140453,0.0623571102407713,objects
